OpenDSS Value (p.u.),Bus
0.0,udt11606-udt14134x
0.0,udt9232-udt9233x
0.0,p1umv51-udt16768xx
0.0,udt12178-udt4149x
0.0,udt15995-udt18323x
0.0,udt15995-udt18323xx
0.0,udt11515-udt13656x
0.0,udt11515-udt6930x
0.0,udt2168-udt4933x
0.0,udt15092-udt6930x
0.0,udt16715-udt2169x
0.0,udt14343-udt2169x
0.0,udt12178-udt14343x
0.0,udt13854-udt4154x
0.0,udt794-udt9215x
0.0,udt9232-udt9233xx
0.0,udt17243-udt4172x
0.0,udt13265-udt784xx
0.0,udt13265-udt784x
0.0,udt13214-udt14134x
0.0,udt4962-udt4963x
0.0,udt4174-udt4175x
0.0,udt13018-udt18239x
0.0,udt18221-udt18990xx
0.0,udt18221-udt18990xxx
0.0,udt12277-udt4179xx
0.0,udt4150-udt4151x
0.0,udt12277-udt4179x
0.0,udt18673-udt3992x
0.0,udt11070-udt11661xx
0.0,udt11070-udt11661x
0.0,udt11661-udt12721xx
0.0,udt11661-udt12721x
0.0,udt12721-udt13328xx
0.0,udt4149-udt4961x
0.0,udt12721-udt13328x
0.0,udt16678-udt705x
0.0,udm53095
0.0,udm43381
0.0,udm43393
0.0,udm44870
0.0,udm44871
0.0,udm45138
0.0,udm45139
0.0,udt16678-udt705xx
0.0,udm45696
0.0,udm46410
0.0,udm46409
0.0,udm49366
0.0,udm49367
0.0,udm49556
0.0,udm53094
0.0,udm45697
0.0,udt4936-udt4937x
0.0,udt13328-udt3980xx
0.0,udt12270-udt3980xx
0.0,udt10157-udt17328xx
0.0,udt10157-udt17328x
0.0,udt10145-udt14119x
0.0,udt9211-udt9713x
0.0,udt17794-udt9216xx
0.0,udt17794-udt9216x
0.0,udt17859-udt9215x
0.0,udt14844-udt787x
0.0,udt11193-udt11339x
0.0,udt11339-udt11482xx
0.0,udt11339-udt11482x
0.0,udt11482-udt13214xx
0.0,udt11482-udt13214x
0.0,udt13214-udt14134xx
0.0,udt11193-udt11339xx
0.0,udt13328-udt3980x
0.0,udt12976-udt792x
0.0,udt801-udt9714xx
0.0,udt12270-udt3980xxx
0.0,udt14645-udt14957x
0.0,udt14645-udt14957xx
0.0,udt14645-udt764xx
0.0,udt14645-udt764x
0.0,udt14291-udt15067xx
0.0,udt801-udt9714xxx
0.0,udt14291-udt15067x
0.0,udt15067-udt764x
0.0,udt2167-udt764x
0.0,udt4159-udt4160x
0.0,udt4156-udt4158x
0.0,udt4163-udt4164x
0.0,udt4930-udt4932x
0.0,udt15067-udt764xx
0.0,udt10157-udt17328xxx
0.0,udt11690-udt4155x
0.0,udm39087
0.0,udt14264-udt791xx
0.0,udt14264-udt791x
0.0,udt9217-udt9219x
0.0,udt9217-udt9219xx
0.0,udt793-udt9228xx
0.0,udt793-udt9228x
0.0,udt16032-udt9228x
0.0,udt16032-udt9228xx
0.0,udt17302-udt797x
0.0,udt17302-udt797xx
0.0,udt17302-udt18271xx
0.0,udt17302-udt18271x
0.0,udt18271-udt799xx
0.0,udt18271-udt799x
0.0,udt799-udt9712xx
0.0,udt799-udt9712x
0.0,udt799-udt9212xx
0.0,udt10145-udt10146x
0.0,udt10145-udt10146xx
0.0,udm35166
0.0,udm35167
0.0,udt17253-udt798x
0.0,udm32483
0.0,udt14264-udt9218xx
0.0,udt11769-udt790x
0.0,udm3293
0.0,udm3295
0.0,udm3294
0.0,udt11769-udt14134xx
0.0,udt11769-udt14134x
0.0,udt799-udt9212x
0.0,udt11769-udt790xx
0.0,udt14264-udt9218x
0.0,udt9218-udt9219xx
0.0,udt9218-udt9219x
0.0,udt11571-udt18982xx
0.0,udt11571-udt18982x
0.0,udm18679
0.0,udm18681
0.0,udm18680
0.0,udt11690-udt17786x
0.0,udt11571-udt14617xx
0.0,udt11690-udt17786xx
0.0,udt4157-udt4163x
0.0,udt705-udt706x
0.0,udt16678-udt705xxx
0.0,udt18221-udt18990x
0.0,udt12277-udt4179xxx
0.0,udt12270-udt3980x
0.0,udt17317-udt3990x
0.0,udt13259-udt17328xx
0.0,udt11571-udt14617x
0.0,udt10827-udt14617xx
0.0,udt14027-udt9219xx
0.0,udt14027-udt9219x
0.0,udm39056
0.0,udm36597
0.0,udt17881-udt4177xx
0.0,udt17881-udt4177x
0.0,udt10827-udt14617x
0.0,udt12954-udt4177x
0.0,udt12656-udt12954x
0.0,udt12656-udt12954xx
0.0,udt12656-udt15337x
0.0,udt12656-udt15337xx
0.0,udt10827-udt12656x
0.0,udt10827-udt12656xx
0.0,udt12954-udt4177xx
0.0,udt13259-udt17328x
0.0,udt10139-udt17328x
0.0,udt10139-udt17328xx
0.0,udm16036
0.0,udm16027
0.0,udm16030
0.0,udm16028
0.0,udm18723
0.0,udm16023
0.0,udm16035
0.0,udm16024
0.0,udm45318
0.0,udt14631-udt2171xx
0.0,udt14631-udt2171x
0.0,udt14398-udt2171x
0.0,udt14398-udt2171xx
0.0,udt11767-udt14398x
0.0,udm16026
0.0,udt11767-udt14398xx
0.0,udt13854-udt2172x
0.0,udt13985-udt4934x
0.0,udm39090
0.0,udm39089
0.0,udm39088
0.0,udm2967
0.0,udm2968
0.0,udm2969
0.0,udt13985-udt4934xx
0.0,udt11581-udt705x
0.0,udm3307
0.0,udt11581-udt800x
0.0,udt11581-udt800xx
0.0,udm8843
